Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,47n,C1622
C10,0603,1,1n,C1588
"C11, C13, C15, C16, C5, C6, C7",0603,7,100n,C14663
"C12, C14",0603,2,10u,C96446
"C2, C4, C8, C9",0603,4,100p,C14858
C3,0603,1,10n,C57112
D1,SOIC-4_4.55x3.7mm_P2.54mm,1,MB10S,C2488
J1,anschlussklemme2x1,1,Screw_Terminal_01x02,C8385
Q1,SOT-23,1,MMBT5401,C8326
Q2,SOT-23,1,MMBT2222A,C8512
"R1, R20",0603,2,130k,C22795
"R10, R15, R6",0603,3,18k,C25810
"R11, R13, R2, R22",0603,4,10k,C25804
"R12, R14",0603,2,2k4,C22940
"R16, R17, R5, R7",0603,4,5k1,C23186
"R18, R19, R3, R4",0603,4,82k,C23254
R21,0603,1,4k7,C23162
"R8, R9",0603,2,47k,C25819
U1,SOT-353_SC-70-5,1,TLV9351,C4367425
"U2, U3",SOT-23-5,2,LMV321,C7972
U5,SOT-89-3,1,HT7533-1,C14289
